"customerID","InvoiceDate","DueDate","SettledDate","InvoiceAmount","DaysLate","On Time"
"7758-WKLVM","12/22/2012","1/21/2013","1/24/2013","44.36","3","1-30 days"
"3993-QUNVJ","2/1/2013","3/3/2013","2/5/2013","56.65","0","On Time"
"9174-IYKOC","8/2/2012","9/1/2012","8/24/2012","58.2","0","On Time"
"2676-DZINU","8/19/2013","9/18/2013","9/6/2013","83.05","0","On Time"
"9014-WENVB","2/13/2013","3/15/2013","3/11/2013","60.03","0","On Time"
"6833-ETVHD","9/11/2012","10/11/2012","9/29/2012","59.01","0","On Time"
"1447-YZKCL","4/27/2013","5/27/2013","5/27/2013","66.85","0","On Time"
"8364-UWVLM","8/20/2012","9/19/2012","10/3/2012","78.83","14","1-30 days"
"9323-NDIOV","9/10/2013","10/10/2013","10/17/2013","65","7","1-30 days"
"5920-DPXLN","8/30/2012","9/29/2012","9/19/2012","57.18","0","On Time"
"6708-DPYTF","8/2/2012","9/1/2012","9/18/2012","74.65","17","1-30 days"
"9014-WENVB","6/9/2012","7/9/2012","7/8/2012","59.85","0","On Time"
"4632-QZOKX","6/10/2012","7/10/2012","7/11/2012","40.54","1","1-30 days"
"2125-HJDLA","9/3/2012","10/3/2012","10/17/2012","51.44","14","1-30 days"
"5592-UQXSS","7/15/2013","8/14/2013","8/2/2013","28.43","0","On Time"
"9725-EZTEJ","11/2/2013","12/2/2013","12/4/2013","78.73","2","1-30 days"
"6177-VTITE","8/29/2012","9/28/2012","9/21/2012","56.26","0","On Time"
"5529-TBPGK","2/10/2013","3/12/2013","3/13/2013","77.26","1","1-30 days"
"4640-FGEJI","9/23/2012","10/23/2012","10/15/2012","64.6","0","On Time"
"5284-DJOZO","1/13/2012","2/12/2012","1/27/2012","54.44","0","On Time"
"0688-XNJRO","8/14/2013","9/13/2013","9/21/2013","49.04","8","1-30 days"
"8389-TCXFQ","12/1/2013","12/31/2013","1/4/2014","70.45","4","1-30 days"
"8820-BLYDZ","10/13/2012","11/12/2012","10/22/2012","66.12","0","On Time"
"9174-IYKOC","9/22/2013","10/22/2013","10/23/2013","49.88","1","1-30 days"
"3569-VJWXS","2/1/2013","3/3/2013","3/5/2013","38.64","2","1-30 days"
"7050-KQLDO","3/8/2012","4/7/2012","4/9/2012","65.7","2","1-30 days"
"5924-UOPGH","3/14/2012","4/13/2012","4/11/2012","67.6","0","On Time"
"9174-IYKOC","12/9/2012","1/8/2013","1/15/2013","35.69","7","1-30 days"
"1080-NDGAE","9/6/2012","10/6/2012","10/13/2012","92.53","7","1-30 days"
"9286-VLKMI","12/28/2012","1/27/2013","1/8/2013","61.59","0","On Time"
"4640-FGEJI","10/20/2013","11/19/2013","11/5/2013","94.47","0","On Time"
"9174-IYKOC","9/10/2012","10/10/2012","10/11/2012","38","1","1-30 days"
"8156-PCYBM","10/31/2012","11/30/2012","11/25/2012","50.24","0","On Time"
"5924-UOPGH","2/7/2012","3/8/2012","3/19/2012","113.76","11","1-30 days"
"4092-ZAVRG","5/7/2012","6/6/2012","5/13/2012","50.96","0","On Time"
"9928-IJYBQ","11/2/2012","12/2/2012","11/26/2012","73.25","0","On Time"
"3993-QUNVJ","1/3/2012","2/2/2012","1/23/2012","50.39","0","On Time"
"0379-NEVHP","10/28/2012","11/27/2012","11/19/2012","76.81","0","On Time"
"6177-VTITE","2/6/2012","3/7/2012","2/20/2012","63.28","0","On Time"
"6048-QPZCF","2/14/2013","3/16/2013","3/17/2013","87.9","1","1-30 days"
"1408-OQZUE","4/5/2012","5/5/2012","5/28/2012","27.05","23","1-30 days"
"8690-EEBEO","2/26/2013","3/28/2013","3/31/2013","53.45","3","1-30 days"
"8389-TCXFQ","1/22/2012","2/21/2012","2/21/2012","72.49","0","On Time"
"4092-ZAVRG","2/27/2013","3/29/2013","3/11/2013","69.65","0","On Time"
"7600-OISKG","7/3/2012","8/2/2012","8/7/2012","61.25","5","1-30 days"
"7758-WKLVM","3/12/2013","4/11/2013","5/6/2013","70.85","25","1-30 days"
"6177-VTITE","11/29/2013","12/29/2013","12/13/2013","41.97","0","On Time"
"7856-ODQFO","11/30/2013","12/30/2013","1/6/2014","49.71","7","1-30 days"
"5196-TWQXF","7/4/2012","8/3/2012","7/26/2012","72.65","0","On Time"
"6048-QPZCF","11/25/2012","12/25/2012","12/1/2012","73.73","0","On Time"
"3448-OWJOT","7/5/2012","8/4/2012","8/13/2012","66.13","9","1-30 days"
"5284-DJOZO","3/23/2013","4/22/2013","3/24/2013","80.71","0","On Time"
"5284-DJOZO","5/25/2013","6/24/2013","6/8/2013","72.85","0","On Time"
"3568-JJMFW","12/27/2012","1/26/2013","1/18/2013","88.5","0","On Time"
"7841-HROAQ","8/2/2012","9/1/2012","9/9/2012","68.53","8","1-30 days"
"5613-UHVMG","11/10/2013","12/10/2013","12/12/2013","60.6","2","1-30 days"
"3271-HYHDN","4/12/2013","5/12/2013","4/17/2013","45.56","0","On Time"
"2447-JCFGW","12/12/2012","1/11/2013","1/5/2013","31.38","0","On Time"
"3598-DNURW","1/30/2012","2/29/2012","2/20/2012","56.37","0","On Time"
"3271-HYHDN","8/10/2013","9/9/2013","8/10/2013","58.78","0","On Time"
"4092-ZAVRG","8/23/2013","9/22/2013","9/11/2013","62.68","0","On Time"
"7050-KQLDO","10/24/2013","11/23/2013","11/15/2013","76.69","0","On Time"
"5196-TWQXF","7/8/2013","8/7/2013","8/2/2013","60","0","On Time"
"7856-ODQFO","4/3/2013","5/3/2013","4/25/2013","37.82","0","On Time"
"9250-VHLWY","5/9/2013","6/8/2013","5/28/2013","29.93","0","On Time"
"2125-HJDLA","3/2/2013","4/1/2013","4/10/2013","26.83","9","1-30 days"
"8942-ERSWK","11/12/2013","12/12/2013","11/15/2013","32.95","0","On Time"
"2820-XGXSB","5/7/2012","6/6/2012","5/8/2012","73.9","0","On Time"
"6077-FDQRK","8/20/2012","9/19/2012","9/15/2012","62.95","0","On Time"
"3568-JJMFW","8/8/2012","9/7/2012","9/4/2012","71.98","0","On Time"
"7245-CKNCN","8/17/2013","9/16/2013","9/4/2013","51.6","0","On Time"
"8942-ERSWK","4/21/2013","5/21/2013","5/10/2013","34.12","0","On Time"
"3598-DNURW","8/9/2012","9/8/2012","9/3/2012","57.34","0","On Time"
"5284-DJOZO","5/3/2012","6/2/2012","5/21/2012","39.51","0","On Time"
"6708-DPYTF","2/13/2012","3/14/2012","3/30/2012","86.74","16","1-30 days"
"4651-PMEXQ","1/4/2013","2/3/2013","1/24/2013","77.46","0","On Time"
"5529-TBPGK","11/20/2012","12/20/2012","12/15/2012","55.81","0","On Time"
"7245-CKNCN","7/20/2013","8/19/2013","8/4/2013","66.28","0","On Time"
"0379-NEVHP","2/14/2013","3/16/2013","3/3/2013","55.21","0","On Time"
"9014-WENVB","4/13/2013","5/13/2013","6/2/2013","65.83","20","1-30 days"
"4460-ZXNDN","10/6/2012","11/5/2012","11/13/2012","80.31","8","1-30 days"
"7856-ODQFO","5/18/2013","6/17/2013","6/7/2013","40.54","0","On Time"
"0706-NRGUP","4/16/2012","5/16/2012","5/22/2012","41.44","6","1-30 days"
"6831-FIODB","5/8/2013","6/7/2013","6/14/2013","36.29","7","1-30 days"
"2687-XWAMA","6/17/2012","7/17/2012","7/24/2012","60.22","7","1-30 days"
"9212-BTDMX","6/2/2013","7/2/2013","6/16/2013","59.71","0","On Time"
"6296-UKEUZ","11/7/2012","12/7/2012","11/29/2012","54.74","0","On Time"
"6048-QPZCF","8/24/2012","9/23/2012","9/19/2012","76.34","0","On Time"
"1408-OQZUE","4/18/2013","5/18/2013","5/23/2013","37.81","5","1-30 days"
"6177-VTITE","12/26/2012","1/25/2013","1/6/2013","8.27","0","On Time"
"8156-PCYBM","3/28/2012","4/27/2012","4/28/2012","64.4","1","1-30 days"
"0465-DTULQ","9/14/2012","10/14/2012","10/17/2012","32.86","3","1-30 days"
"7228-LEPPM","3/9/2012","4/8/2012","4/18/2012","32.17","10","1-30 days"
"9883-SDWFS","4/17/2012","5/17/2012","5/24/2012","28.77","7","1-30 days"
"6632-CGYHU","10/5/2012","11/4/2012","10/23/2012","57.86","0","On Time"
"5573-KSOIA","10/19/2013","11/18/2013","11/16/2013","57.78","0","On Time"
"5164-VMYWJ","2/22/2013","3/24/2013","3/14/2013","90.22","0","On Time"
"6160-HCSFI","8/20/2012","9/19/2012","9/12/2012","65.49","0","On Time"
"5529-TBPGK","7/10/2012","8/9/2012","8/21/2012","57.88","12","1-30 days"
"2676-DZINU","4/26/2012","5/26/2012","5/18/2012","65.01","0","On Time"
"2621-XCLEH","2/21/2012","3/22/2012","4/7/2012","79.51","16","1-30 days"
"8389-TCXFQ","1/30/2013","3/1/2013","2/13/2013","85.5","0","On Time"
"6177-VTITE","2/5/2013","3/7/2013","3/6/2013","39.33","0","On Time"
"7050-KQLDO","6/16/2013","7/16/2013","7/3/2013","62.26","0","On Time"
"9725-EZTEJ","5/2/2012","6/1/2012","5/23/2012","116.78","0","On Time"
"4460-ZXNDN","9/1/2013","10/1/2013","10/16/2013","73.77","15","1-30 days"
"8887-NCUZC","4/16/2013","5/16/2013","5/21/2013","37.38","5","1-30 days"
"5875-VZQCZ","10/30/2012","11/29/2012","11/24/2012","60.8","0","On Time"
"4460-ZXNDN","5/24/2013","6/23/2013","6/25/2013","102.98","2","1-30 days"
"4640-FGEJI","4/19/2012","5/19/2012","5/21/2012","70.02","2","1-30 days"
"0688-XNJRO","12/13/2012","1/12/2013","1/30/2013","36.09","18","1-30 days"
"9883-SDWFS","3/29/2012","4/28/2012","5/13/2012","14.94","15","1-30 days"
"5529-TBPGK","3/12/2013","4/11/2013","4/11/2013","46.63","0","On Time"
"0709-LZRJV","7/7/2012","8/6/2012","8/16/2012","10.92","10","1-30 days"
"8887-NCUZC","5/30/2012","6/29/2012","7/9/2012","42.76","10","1-30 days"
"9841-XLGBV","10/25/2012","11/24/2012","11/16/2012","50.97","0","On Time"
"9212-BTDMX","2/21/2013","3/23/2013","3/1/2013","73.59","0","On Time"
"9928-IJYBQ","3/9/2013","4/8/2013","4/16/2013","46.61","8","1-30 days"
"4092-ZAVRG","9/28/2012","10/28/2012","10/4/2012","60.14","0","On Time"
"2820-XGXSB","5/25/2013","6/24/2013","5/28/2013","56.09","0","On Time"
"0709-LZRJV","9/27/2012","10/27/2012","10/23/2012","61.07","0","On Time"
"4640-FGEJI","3/7/2013","4/6/2013","4/8/2013","90.34","2","1-30 days"
"3568-JJMFW","4/3/2013","5/3/2013","5/3/2013","77.79","0","On Time"
"6627-ELFBK","2/15/2013","3/17/2013","4/1/2013","76.5","15","1-30 days"
"7938-EVASK","8/14/2013","9/13/2013","9/24/2013","44.09","11","1-30 days"
"2447-JCFGW","4/6/2012","5/6/2012","5/3/2012","35.67","0","On Time"
"7654-DOLHO","9/19/2013","10/19/2013","10/13/2013","23.62","0","On Time"
"9149-MATVB","4/1/2013","5/1/2013","4/25/2013","50.95","0","On Time"
"9149-MATVB","12/24/2012","1/23/2013","1/18/2013","64.18","0","On Time"
"4651-PMEXQ","11/3/2012","12/3/2012","11/28/2012","49.01","0","On Time"
"1080-NDGAE","9/12/2013","10/12/2013","10/14/2013","94.57","2","1-30 days"
"8887-NCUZC","2/11/2013","3/13/2013","3/4/2013","26.37","0","On Time"
"7841-HROAQ","6/20/2012","7/20/2012","7/8/2012","63.36","0","On Time"
"2125-HJDLA","10/26/2012","11/25/2012","11/24/2012","43.18","0","On Time"
"6160-HCSFI","10/20/2013","11/19/2013","11/1/2013","92.57","0","On Time"
"8887-NCUZC","11/3/2013","12/3/2013","11/28/2013","52.14","0","On Time"
"5920-DPXLN","4/26/2013","5/26/2013","5/7/2013","68.35","0","On Time"
"8364-UWVLM","5/17/2013","6/16/2013","6/3/2013","69.82","0","On Time"
"5573-KSOIA","12/5/2012","1/4/2013","1/14/2013","75.65","10","1-30 days"
"8102-ABPKQ","8/18/2012","9/17/2012","9/29/2012","57.38","12","1-30 days"
"2125-HJDLA","11/9/2012","12/9/2012","12/5/2012","57.37","0","On Time"
"5924-UOPGH","7/28/2012","8/27/2012","8/18/2012","94.42","0","On Time"
"1604-LIFKX","10/13/2012","11/12/2012","12/1/2012","82.74","19","1-30 days"
"7260-ZHAKS","8/21/2012","9/20/2012","9/7/2012","67.74","0","On Time"
"2026-XLBER","10/7/2013","11/6/2013","10/17/2013","49.73","0","On Time"
"9181-HEKGV","8/27/2012","9/26/2012","9/22/2012","85.06","0","On Time"
"7600-OISKG","7/24/2013","8/23/2013","8/22/2013","48.17","0","On Time"
"9928-IJYBQ","4/3/2012","5/3/2012","5/15/2012","66.25","12","1-30 days"
"9725-EZTEJ","10/13/2012","11/12/2012","11/10/2012","124.38","0","On Time"
"9181-HEKGV","9/29/2013","10/29/2013","11/11/2013","76.09","13","1-30 days"
"7600-OISKG","2/11/2012","3/12/2012","3/12/2012","65.67","0","On Time"
"8820-BLYDZ","3/31/2013","4/30/2013","4/2/2013","73.49","0","On Time"
"5284-DJOZO","4/28/2012","5/28/2012","5/15/2012","67.34","0","On Time"
"1447-YZKCL","5/2/2013","6/1/2013","5/28/2013","56.39","0","On Time"
"7600-OISKG","5/12/2013","6/11/2013","6/15/2013","54.99","4","1-30 days"
"3271-YDPUJ","4/8/2012","5/8/2012","5/25/2012","76.71","17","1-30 days"
"6831-FIODB","4/11/2013","5/11/2013","5/22/2013","41.94","11","1-30 days"
"8102-ABPKQ","6/25/2013","7/25/2013","8/8/2013","80.68","14","1-30 days"
"6004-KITZM","12/9/2012","1/8/2013","12/29/2012","71.71","0","On Time"
"1408-OQZUE","7/4/2013","8/3/2013","8/6/2013","42.36","3","1-30 days"
"8690-EEBEO","3/1/2013","3/31/2013","4/7/2013","61.04","7","1-30 days"
"9212-BTDMX","12/13/2012","1/12/2013","12/28/2012","53.91","0","On Time"
"0625-TNJFG","5/11/2013","6/10/2013","6/5/2013","53.01","0","On Time"
"6831-FIODB","11/27/2012","12/27/2012","12/29/2012","59.71","2","1-30 days"
"5284-DJOZO","10/24/2012","11/23/2012","10/26/2012","94.88","0","On Time"
"5592-UQXSS","10/6/2013","11/5/2013","11/10/2013","43.12","5","1-30 days"
"0688-XNJRO","8/10/2013","9/9/2013","9/18/2013","40.58","9","1-30 days"
"0625-TNJFG","9/7/2013","10/7/2013","10/18/2013","64.16","11","1-30 days"
"9174-IYKOC","5/12/2012","6/11/2012","6/4/2012","74.7","0","On Time"
"5613-UHVMG","11/17/2012","12/17/2012","1/5/2013","63.8","19","1-30 days"
"5573-KSOIA","1/17/2013","2/16/2013","2/28/2013","86.27","12","1-30 days"
"8364-UWVLM","9/15/2013","10/15/2013","10/21/2013","65.36","6","1-30 days"
"5164-VMYWJ","9/1/2013","10/1/2013","10/3/2013","65.9","2","1-30 days"
"3448-OWJOT","7/30/2013","8/29/2013","9/9/2013","66.71","11","1-30 days"
"6077-FDQRK","9/25/2013","10/25/2013","10/25/2013","18.9","0","On Time"
"4640-FGEJI","9/12/2013","10/12/2013","10/5/2013","76.18","0","On Time"
"9758-AIEIK","8/20/2012","9/19/2012","9/7/2012","33.82","0","On Time"
"9212-BTDMX","1/15/2013","2/14/2013","2/4/2013","48.18","0","On Time"
"5573-KSOIA","10/13/2012","11/12/2012","11/30/2012","102.61","18","1-30 days"
"7209-MDWKR","6/24/2013","7/24/2013","7/30/2013","49.68","6","1-30 days"
"5196-TWQXF","4/13/2012","5/13/2012","5/18/2012","77.6","5","1-30 days"
"8942-ERSWK","9/18/2013","10/18/2013","9/22/2013","19.82","0","On Time"
"6708-DPYTF","11/25/2013","12/25/2013","12/31/2013","76.18","6","1-30 days"
"5284-DJOZO","8/4/2012","9/3/2012","9/9/2012","72.95","6","1-30 days"
"1080-NDGAE","2/22/2013","3/24/2013","4/4/2013","93.39","11","1-30 days"
"0783-PEPYR","9/30/2013","10/30/2013","11/10/2013","43.67","11","1-30 days"
"5196-TWQXF","2/25/2012","3/26/2012","4/1/2012","65.6","6","1-30 days"
"0379-NEVHP","9/1/2012","10/1/2012","9/23/2012","69.55","0","On Time"
"6048-QPZCF","3/19/2012","4/18/2012","3/24/2012","73.92","0","On Time"
"5875-VZQCZ","9/18/2013","10/18/2013","10/2/2013","46.17","0","On Time"
"5920-DPXLN","5/5/2012","6/4/2012","5/24/2012","82.2","0","On Time"
"9883-SDWFS","5/8/2012","6/7/2012","6/20/2012","41.25","13","1-30 days"
"9149-MATVB","3/14/2013","4/13/2013","4/16/2013","23.92","3","1-30 days"
"6627-ELFBK","3/27/2013","4/26/2013","5/4/2013","71.39","8","1-30 days"
"5529-TBPGK","12/25/2012","1/24/2013","2/11/2013","37.97","18","1-30 days"
"6048-QPZCF","2/8/2012","3/9/2012","3/1/2012","86.44","0","On Time"
"7245-CKNCN","9/14/2013","10/14/2013","9/26/2013","92.77","0","On Time"
"3831-FXWYK","9/27/2013","10/27/2013","10/23/2013","53.05","0","On Time"
"8364-UWVLM","6/30/2012","7/30/2012","8/5/2012","74.84","6","1-30 days"
"7600-OISKG","4/30/2012","5/30/2012","5/30/2012","97.06","0","On Time"
"6391-GBFQJ","2/9/2012","3/10/2012","2/25/2012","6.43","0","On Time"
"4092-ZAVRG","10/23/2012","11/22/2012","11/21/2012","84.43","0","On Time"
"6831-FIODB","5/22/2013","6/21/2013","6/16/2013","51.92","0","On Time"
"0465-DTULQ","3/1/2013","3/31/2013","3/31/2013","68.35","0","On Time"
"6833-ETVHD","4/23/2012","5/23/2012","5/16/2012","73.87","0","On Time"
"2447-JCFGW","1/24/2013","2/23/2013","2/13/2013","73.28","0","On Time"
"5529-TBPGK","5/29/2012","6/28/2012","6/29/2012","64.78","1","1-30 days"
"5924-UOPGH","4/13/2012","5/13/2012","5/1/2012","84.43","0","On Time"
"3569-VJWXS","8/18/2012","9/17/2012","9/15/2012","102.96","0","On Time"
"9181-HEKGV","8/21/2013","9/20/2013","10/9/2013","72.55","19","1-30 days"
"8976-AMJEO","11/11/2012","12/11/2012","12/7/2012","59.8","0","On Time"
"1080-NDGAE","1/5/2012","2/4/2012","2/13/2012","78.29","9","1-30 days"
"6077-FDQRK","12/30/2012","1/29/2013","1/16/2013","49.84","0","On Time"
"7841-HROAQ","5/18/2013","6/17/2013","6/14/2013","64.3","0","On Time"
"7938-EVASK","7/5/2012","8/4/2012","8/8/2012","59.67","4","1-30 days"
"0688-XNJRO","12/10/2012","1/9/2013","1/17/2013","30.98","8","1-30 days"
"7946-HJDUR","4/22/2013","5/22/2013","5/15/2013","49.03","0","On Time"
"7245-CKNCN","9/10/2012","10/10/2012","9/29/2012","85.36","0","On Time"
"4640-FGEJI","11/2/2012","12/2/2012","12/5/2012","99.34","3","1-30 days"
"0379-NEVHP","6/5/2013","7/5/2013","6/19/2013","57.04","0","On Time"
"4640-FGEJI","6/17/2012","7/17/2012","7/28/2012","58.13","11","1-30 days"
"4460-ZXNDN","1/15/2013","2/14/2013","3/10/2013","72.05","24","1-30 days"
"7938-EVASK","7/17/2013","8/16/2013","8/14/2013","72.1","0","On Time"
"0706-NRGUP","11/24/2012","12/24/2012","1/10/2013","39.62","17","1-30 days"
"0688-XNJRO","6/7/2012","7/7/2012","7/28/2012","45.79","21","1-30 days"
"9181-HEKGV","1/27/2012","2/26/2012","3/8/2012","86.92","11","1-30 days"
"5920-DPXLN","11/4/2012","12/4/2012","12/9/2012","58.73","5","1-30 days"
"3831-FXWYK","11/24/2012","12/24/2012","1/3/2013","83.66","10","1-30 days"
"9883-SDWFS","9/14/2012","10/14/2012","10/19/2012","33.86","5","1-30 days"
"1408-OQZUE","2/21/2012","3/22/2012","4/21/2012","26.05","30","1-30 days"
"6160-HCSFI","6/14/2012","7/14/2012","7/2/2012","65.57","0","On Time"
"7245-CKNCN","6/6/2013","7/6/2013","6/20/2013","67.19","0","On Time"
"3568-JJMFW","7/27/2013","8/26/2013","8/23/2013","70.86","0","On Time"
"5196-TWQXF","9/16/2013","10/16/2013","10/6/2013","37.22","0","On Time"
"9117-LYRCE","11/11/2012","12/11/2012","12/17/2012","11.13","6","1-30 days"
"5529-TBPGK","7/7/2012","8/6/2012","8/6/2012","79.09","0","On Time"
"1168-BEASA","4/14/2013","5/14/2013","5/4/2013","57","0","On Time"
"7228-LEPPM","4/12/2013","5/12/2013","5/19/2013","52.67","7","1-30 days"
"5148-SYKLB","11/21/2013","12/21/2013","12/23/2013","75.54","2","1-30 days"
"0783-PEPYR","11/6/2013","12/6/2013","12/6/2013","71.78","0","On Time"
"7372-CESLR","2/17/2012","3/18/2012","3/8/2012","20.8","0","On Time"
"9250-VHLWY","10/3/2013","11/2/2013","10/22/2013","53.85","0","On Time"
"7841-HROAQ","2/10/2013","3/12/2013","3/7/2013","91.89","0","On Time"
"9149-MATVB","8/15/2012","9/14/2012","9/19/2012","48.02","5","1-30 days"
"9323-NDIOV","10/19/2012","11/18/2012","11/18/2012","20.23","0","On Time"
"3448-OWJOT","3/14/2012","4/13/2012","4/28/2012","86.1","15","1-30 days"
"7260-ZHAKS","8/30/2012","9/29/2012","9/21/2012","60.64","0","On Time"
"9883-SDWFS","2/3/2013","3/5/2013","3/17/2013","41.96","12","1-30 days"
"9212-BTDMX","4/8/2013","5/8/2013","4/25/2013","64.81","0","On Time"
"6632-CGYHU","3/29/2013","4/28/2013","4/7/2013","85.33","0","On Time"
"9181-HEKGV","5/20/2013","6/19/2013","6/21/2013","75.18","2","1-30 days"
"8976-AMJEO","5/21/2012","6/20/2012","6/19/2012","84.81","0","On Time"
"4640-FGEJI","9/2/2012","10/2/2012","10/14/2012","68.57","12","1-30 days"
"9883-SDWFS","9/10/2013","10/10/2013","10/10/2013","46.73","0","On Time"
"7856-ODQFO","11/4/2012","12/4/2012","11/24/2012","30.4","0","On Time"
"2125-HJDLA","12/7/2012","1/6/2013","12/31/2012","42.29","0","On Time"
"5613-UHVMG","4/24/2013","5/24/2013","6/2/2013","74.11","9","1-30 days"
"3271-HYHDN","5/3/2012","6/2/2012","5/8/2012","27.53","0","On Time"
"4640-FGEJI","6/30/2013","7/30/2013","7/19/2013","97.75","0","On Time"
"6177-VTITE","6/25/2012","7/25/2012","7/15/2012","71.35","0","On Time"
"5875-VZQCZ","5/27/2013","6/26/2013","6/25/2013","55.99","0","On Time"
"3569-VJWXS","1/27/2012","2/26/2012","2/29/2012","58.71","3","1-30 days"
"5196-TWQXF","12/4/2012","1/3/2013","12/27/2012","61.73","0","On Time"
"8690-EEBEO","6/15/2012","7/15/2012","7/27/2012","51.35","12","1-30 days"
"9286-VLKMI","11/27/2013","12/27/2013","12/7/2013","74.75","0","On Time"
"3271-HYHDN","5/7/2012","6/6/2012","5/15/2012","60.55","0","On Time"
"6160-HCSFI","8/22/2012","9/21/2012","9/8/2012","61.84","0","On Time"
"5924-UOPGH","9/15/2012","10/15/2012","10/29/2012","96.74","14","1-30 days"
"5613-UHVMG","9/28/2013","10/28/2013","11/8/2013","67.08","11","1-30 days"
"6077-FDQRK","4/6/2012","5/6/2012","4/30/2012","82.4","0","On Time"
"3569-VJWXS","8/7/2012","9/6/2012","9/11/2012","92.18","5","1-30 days"
"2423-QOKIO","8/6/2012","9/5/2012","9/17/2012","47.86","12","1-30 days"
"7946-HJDUR","8/8/2012","9/7/2012","9/12/2012","58.32","5","1-30 days"
"9149-MATVB","1/26/2013","2/25/2013","2/24/2013","25.73","0","On Time"
"7600-OISKG","11/5/2012","12/5/2012","11/29/2012","87.51","0","On Time"
"7946-HJDUR","7/3/2012","8/2/2012","7/26/2012","79.05","0","On Time"
"0465-DTULQ","5/27/2012","6/26/2012","6/20/2012","43.09","0","On Time"
"9323-NDIOV","1/14/2012","2/13/2012","2/29/2012","47.48","16","1-30 days"
"0625-TNJFG","3/6/2012","4/5/2012","3/28/2012","41.89","0","On Time"
"1168-BEASA","5/1/2013","5/31/2013","6/15/2013","49.96","15","1-30 days"
"5573-KSOIA","3/31/2013","4/30/2013","5/2/2013","57.12","2","1-30 days"
"6833-ETVHD","11/12/2012","12/12/2012","11/25/2012","72.88","0","On Time"
"3676-CQAIF","5/17/2012","6/16/2012","6/26/2012","41.29","10","1-30 days"
"9322-YCTQO","4/29/2013","5/29/2013","5/24/2013","54.5","0","On Time"
"2824-HJQPP","10/26/2012","11/25/2012","11/17/2012","46.05","0","On Time"
